time,left_eye,right_eye,lips,head_h,head_v,head_slope,planar_angle,lip_sum,lip_ratio,abs_mov
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0.25080624838000665,0,0.16847571270878103,1066.0,1124.0,2190.0,0.055116534294088,118.10856325216741,0.16847571270878103,1
1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.052419977776947846,0,0.0008039335469355868,57.0,11.0,68.0,0.017141502202988435,1.4142386620411003,0.0008039335469355868,1
3,0.004263277849129665,0,0.0038228006125726466,17.0,4.0,21.0,0.04254625632385339,11.788851353843413,0.0038228006125726466,1
4,0.025037703114324406,0,0.003979598358672953,1.0,0.0,1.0,0.007689449890862482,1.9377186878073331,0.003979598358672953,0
5,0.009457304781213371,0,0.020964162721594293,12.0,4.0,16.0,0.06838039846073315,11.753629625911316,0.020964162721594293,1
6,0.00907346886608923,0,0.034884023352033416,4.0,1.0,5.0,0.033114565753008696,8.572424646164961,0.034884023352033416,0
7,0.0150766461804559,0,0.01807296573857231,7.0,1.0,8.0,0.05492416804901916,3.249573582060364,0.01807296573857231,0
8,0.003115503365271277,0,0.005559812687676857,0.0,0.0,0.0,0.006882702401366292,3.176640738315058,0.005559812687676857,0
9,0.006485887647780575,0,0.058638029331210345,17.0,12.0,5.0,0.02328043247733092,7.663746951001386,0.058638029331210345,1
10,0.01835024722187828,0,0.039366783588344806,2.0,16.0,14.0,0.014302710503769113,4.890831041002826,0.039366783588344806,1
11,0.017657142738475573,0,0.012694070362022386,2.0,2.0,0.0,0.019637910403754205,0.09928652373190516,0.012694070362022386,0
12,0.01223767416892696,0,0.014033489186258491,24.0,4.0,20.0,0.06443010857993792,4.581046299875837,0.014033489186258491,1
13,0.017825512741361016,0,0.001258121377673782,1.0,7.0,8.0,0.00964226982324852,4.96916170908122,0.001258121377673782,0
14,0.016851365185019895,0,0.002196845338477166,0.0,1.0,1.0,0.0001320453822147294,1.052133790615983,0.002196845338477166,0
15,0.029103263451116468,0,0.01871126300770637,9.0,3.0,6.0,0.0027651559355864608,1.846406051192929,0.01871126300770637,1
16,0.007114081963069452,0,0.03789410507385685,3.0,3.0,6.0,0.0030084984246096444,1.1268724495314046,0.03789410507385685,0
17,0.011432480509839027,0,0.04560046428671566,4.0,6.0,10.0,0.02534329050215608,0.9650469274849627,0.04560046428671566,0
18,0.004675558466993968,0,0.003603430162447935,1.0,1.0,2.0,0.009440703572604075,1.9645031722662054,0.003603430162447935,0
19,0.010767397282732738,0,0.00711161025301732,2.0,1.0,3.0,0.006229838688870675,9.026202272370426,0.00711161025301732,0
20,0.014984205990528132,0,0.008156762235430243,6.0,2.0,4.0,0.04353350938276513,7.9479547399305375,0.008156762235430243,0
21,0.06002308060304551,0,0.041226436704918434,17.0,6.0,11.0,0.040572512644773205,2.949394338788082,0.041226436704918434,1
22,0.023407649343256398,0,0.005328531545475523,4.0,0.0,4.0,0.0061535937017193915,2.951640378537917,0.005328531545475523,0
23,0.007374945921953258,0,0.02635592936493336,0.0,4.0,4.0,0.024608318837081793,0.9759484493093851,0.02635592936493336,0
24,0.029006171191214236,0,0.04545826358747984,7.0,1.0,6.0,0.014206412892088162,12.032701510640905,0.04545826358747984,1
25,0.019772836955811834,0,0.04516629361798308,1.0,2.0,1.0,0.0388613513410904,12.032219267455005,0.04516629361798308,1
26,0.00017784632760281527,0,0.006022671411043901,3.0,0.0,3.0,0.015372536479476893,3.018292762915138,0.006022671411043901,0
27,0.0010797183356259232,0,0.03829808732096196,11.0,8.0,3.0,0.0028061103429119147,9.978464206346658,0.03829808732096196,1
28,0.0018142477385783007,0,0.028357771955903582,6.0,5.0,1.0,0.006012542067006046,5.8203032647458315,0.028357771955903582,0
29,0.006870782524542651,0,0.013666707476010065,16.0,4.0,12.0,0.012152403973404613,0.0962189982258792,0.013666707476010065,1
30,0.0005415128712015216,0,0.015524826535212671,2.0,0.0,2.0,0.00607339772582028,3.9923629972186774,0.015524826535212671,0
31,0.03896492009400199,0,0.06739036245168165,3.0,1.0,4.0,0.003310822196361817,16.946971863472854,0.06739036245168165,1
32,0.022338450609798333,0,0.01546700873593243,7.0,1.0,6.0,0.027071873695543258,7.9179264275656465,0.01546700873593243,0
33,0.014542054086810141,0,0.020937097999812804,4.0,10.0,6.0,0.012065087061354831,4.04599523869544,0.020937097999812804,1
34,0.013865240953637281,0,0.02857173110956701,3.0,2.0,5.0,0.002911477175165515,2.148730580373865,0.02857173110956701,0
35,0.023838280592754002,0,0.016726707944809904,20.0,300.0,320.0,0.05543017623998763,13.497204008352838,0.016726707944809904,1
36,0.013676502591562056,0,0.09778232861547859,9.0,2.0,7.0,0.02586314151706668,12.561932843298024,0.09778232861547859,1
37,0.007386535102790748,0,0.011172648409386421,3.0,3.0,0.0,0.0086076829242559,0.9751401994720936,0.011172648409386421,0
38,0.012602341352329516,0,0.025743269491649623,2.0,3.0,1.0,0.019056162140472135,1.0427932658132022,0.025743269491649623,0
39,0.005757453878120378,0,0.021495354239440156,2.0,1.0,1.0,0.012208008192201726,1.999183507348306,0.021495354239440156,0
40,0.013710779192766642,0,0.0009383174325308108,0.0,1.0,1.0,0.00015157830797911387,4.020078892081273,0.0009383174325308108,0
41,0.013710779192766642,0,0.04198245677589413,6.0,5.0,1.0,0.00015065062123700845,8.034658507957204,0.04198245677589413,0
42,0.012535443099482124,0,0.0538414823124192,4.0,2.0,6.0,0.012020287449821913,4.976967827255919,0.0538414823124192,0
43,0.019204420197247385,0,0.06449586331795315,2.0,4.0,2.0,0.0058982982047741245,5.998115288569636,0.06449586331795315,0
44,0.021246132862337175,0,0.03356029672721733,1.0,2.0,1.0,0.003061425741787062,5.9917519654654825,0.03356029672721733,0
45,0.0025831965981845673,0,0.04725946004989756,3.0,3.0,6.0,0.009073528429967219,3.0111657260467837,0.04725946004989756,0
46,0.0006583211685261547,0,0.10911130892865711,1.0,9.0,8.0,0.009073528429967219,12.996291412674097,0.10911130892865711,1
47,0.002578197884277156,0,0.04578141290398102,2.0,1.0,3.0,0.01214660138895323,6.859822467156775,0.04578141290398102,1
48,0.00566955433787264,0,0.00853339641163453,1.0,1.0,2.0,0.00295996571494906,2.0833593628619695,0.00853339641163453,0
49,0.005463621136227059,0,0.028845710640171218,3.0,10.0,7.0,0.01545497989389906,7.944041880392703,0.028845710640171218,1
50,0.000890186612178101,0,0.01079794425454228,11.0,1.0,12.0,0.01602755355019852,4.982115856833147,0.01079794425454228,1
51,0.010766080798567168,0,0.0039009177997187394,2.0,1.0,3.0,0.006085117588746525,1.0656501849918243,0.0039009177997187394,0
52,0.05466720698588251,0,0.016765488813571816,62.0,23.0,85.0,0.02455552504615937,5.092181202453588,0.016765488813571816,1
53,0.008530377047890503,0,0.0073969571100330755,45.0,7.0,52.0,0.045698539352474754,1.4008026208529714,0.0073969571100330755,1
54,0.014622007968814577,0,0.019523037704140378,0.0,0.0,0.0,0.012169213230879466,0.9561041623067723,0.019523037704140378,1
55,0.041854751534961265,0,0.004000987718946858,72.0,15.0,87.0,0.06559728551575833,8.047391345092933,0.004000987718946858,1
56,0.0060566681367525965,0,0.07142044530234021,10.0,6.0,16.0,0.022335289024349142,10.573707968424998,0.07142044530234021,1
57,0.03719474342482276,0,0.002177691036295115,3.0,1.0,2.0,0.0022944784601093837,0.4142841243130846,0.002177691036295115,0
58,0.07795329009468832,0,0.0014600438659634896,30.0,6.0,36.0,0.03165876930856612,7.678597140612382,0.0014600438659634896,1
59,0.005465440012829115,0,0.0719014577518527,84.0,8.0,92.0,0.06589159798509807,10.32521549735668,0.0719014577518527,1
60,0.009561831583232205,0,0.026725860957545422,31.0,3.0,34.0,0.06202089468285413,4.373952653790923,0.026725860957545422,1
61,0.023971051467698956,0,0.013259500960251247,4.0,2.0,6.0,0.005745678436190511,8.153213467651398,0.013259500960251247,0
62,0.0024216771694703376,0,0.009544677747788333,68.0,2.0,66.0,0.006679915204140685,5.728828454412593,0.009544677747788333,1
63,0.024890899842193226,0,0.021452865947774513,36.0,8.0,28.0,0.07895564205336153,5.430701604776104,0.021452865947774513,1
64,0.014298188279063317,0,0.008182175145601434,0.0,0.0,0.0,0.005231053560284027,2.09954615057255,0.008182175145601434,0
65,0.0474984452610438,0,0.044700240623519294,41.0,11.0,30.0,0.11011740476392679,3.246811777200435,0.044700240623519294,1
66,0.0002748270043322343,0,0.03561681722436599,8.0,0.0,8.0,0.040206786739731076,1.723093955769457,0.03561681722436599,1
67,0.015678086667741842,0,0.011809691087675767,2.0,1.0,1.0,0.010626890689817925,0.5252493481575584,0.011809691087675767,0
68,0.007507520337385776,0,0.04837348966101995,16.0,3.0,19.0,0.0219548976178342,0.5209456589689978,0.04837348966101995,1
69,0.004556380506678448,0,0.024811719817540823,6.0,1.0,7.0,0.0478517962404342,3.3603537026379513,0.024811719817540823,0
70,0.007477807861916763,0,0.0035865263998425267,4.0,1.0,5.0,0.006446902085970679,0.006721825715800378,0.0035865263998425267,1
71,0.045088743517567975,0,0.04644965146532554,21.0,6.0,15.0,0.08080702497144418,5.511923804290348,0.04644965146532554,1
72,0.011236136385889162,0,0.00797645119362006,12.0,2.0,10.0,0.023539871783666344,1.9835538859114763,0.00797645119362006,1
73,0.010721686163036315,0,0.01783521677362271,2.0,1.0,3.0,0.012244576775570754,1.2413853514467803,0.01783521677362271,0
74,0.013140679880025097,0,0.04549560777469702,11.0,0.0,11.0,0.04518647231450315,7.068365785035809,0.04549560777469702,1
75,0.002768229476532047,0,0.02889921558399222,8.0,3.0,5.0,0.00032185386722521914,4.290855019900789,0.02889921558399222,1
76,0.02113344022096819,0,0.004378164089493042,1.0,0.0,1.0,0.0029779970090400842,0.994206881706674,0.004378164089493042,0
77,0.015852793900057227,0,0.04107486266458216,1.0,3.0,2.0,0.015186187996379455,2.881295244871268,0.04107486266458216,0
78,0.02526707179308829,0,0.02194408477992721,5.0,1.0,6.0,0.009184617478205856,2.1475888121734386,0.02194408477992721,0
79,0.022139005547215318,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,0.011073661068506935,0,0.05698473390935177,0.0,0.0,0.0,0.00048379723328070834,0.9237592285207938,0.05698473390935177,0
81,0.010877530065496743,0,0.0006668002229490155,1.0,0.0,1.0,0.002992977378224293,0.060858078641359725,0.0006668002229490155,0
82,0.0074647646775089505,0,0.010283899731023505,2.0,1.0,3.0,0.0002351494059822795,1.9333770378338784,0.010283899731023505,0
83,0.014206384333924071,0,0.018130814274342988,5.0,0.0,5.0,0.0025152076777703314,1.1452278245025411,0.018130814274342988,0
84,0.004818928816526291,0,0.00034837400860748824,1.0,1.0,0.0,0.0032341413759413157,0.0787014088418232,0.00034837400860748824,0
85,0.005178406610980402,0,0.03238921723572796,1.0,4.0,5.0,0.021346643972800117,3.438065243422244,0.03238921723572796,0
86,0.0211813035593047,0,0.07793611116026794,0.0,1.0,1.0,0.0057963354039289455,3.084571601379423,0.07793611116026794,0
87,0.017925587788213126,0,0.0,1.0,0.0,1.0,0.0029927383712425384,0.0,0.0,0
88,0.003943306674575764,0,0.02276266510502567,1.0,2.0,1.0,0.05103301502472035,5.182255884161435,0.02276266510502567,0
89,0.007093750905033003,0,0.004985406444753315,0.0,1.0,1.0,0.02396724756629772,1.061935168205423,0.004985406444753315,0
90,0.022125485622294327,0,0.004540580961809482,2.0,0.0,2.0,0.0059826432339902015,0.950562879279687,0.004540580961809482,0
91,0.030579449879587772,0,0.011671733171672138,4.0,2.0,6.0,0.02331392271306634,0.6953296324371081,0.011671733171672138,0
92,0.0377337750418007,0,0.05033268515343825,13.0,0.0,13.0,0.038419744443191815,5.733638864733848,0.05033268515343825,1
93,0.01981585318390594,0,0.006188104671821626,1.0,1.0,0.0,0.002984440586886402,2.05080727978185,0.006188104671821626,1
